pcod,adm3_sections,est_pop_2020_01,admin3_growth_2020,admin3_growth_2021,admin3_growth_2022,admin3_growth_2023,admin3_growth_2024
HT0111-01,1re Section Turgeau,612590.75,1.0022231,1.0021501,1.002077,1.0020119,1.0019119
HT0111-02,2e Section Morne l'Hôpital,184354.73,1.0021365,1.0020648,1.0019935,1.0019299,1.0018322
HT0111-03,3e Section Martissant,340077.44,1.0022117,1.0021389,1.0020659,1.002001,1.0019014
HT0112-01,1re Section St Martin,455806.81,1.0022308,1.0021576,1.0020843,1.002019,1.0019189
HT0113-01,1re Section Morne Chandelle,984.52716,.99921328,.99918807,.99917966,.99916279,.9991433
HT0113-02,2e Section Platon Dufréné,958.19312,.99921328,.99918807,.99917966,.99916279,.9991433
HT0113-03,3e Section Taïfer,683.14697,.99921328,.99918807,.99917966,.99916279,.9991433
HT0113-04,4e Section Procy,919.4682,.99921328,.99918807,.99917966,.99916279,.9991433
HT0113-05,5e Section Coupeau,1187.5637,.99921328,.99918807,.99917966,.99916279,.9991433
